customer_id,checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit,log_loan_duration_mo,log_loan_amount,log_age_yrs
2859658,0 - 200 DM,12,current loans paid,car (new),1295,< 100 DM,< 1 year,3,female-divorced/separated/married,none,1,car or other,25,none,rent,1,skilled,1,none,yes,1,2.4849066497880004,7.166265974133638,3.2188758248682006
7677202,< 0 DM,48,current loans paid,business,4308,< 100 DM,< 1 year,3,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,skilled,1,none,yes,1,3.871201010907891,8.36822903827628,3.1780538303479458
6368245,0 - 200 DM,12,current loans paid,radio/television,1567,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,1,car or other,22,none,own,1,skilled,1,yes,yes,0,2.4849066497880004,7.356918242356021,3.091042453358316
8363768,< 0 DM,24,critical account - other non-bank loans,car (new),1199,< 100 DM,>= 7 years,4,male-single,none,4,car or other,60,none,own,2,unskilled-resident,1,none,yes,1,3.1780538303479458,7.089243155027514,4.0943445622221
6846974,< 0 DM,15,current loans paid,car (new),1403,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,28,none,rent,1,skilled,1,none,yes,0,2.70805020110221,7.246368080102461,3.332204510175204
6293067,< 0 DM,24,current loans paid,radio/television,1282,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,32,none,own,1,unskilled-resident,1,none,yes,1,3.1780538303479458,7.156176637480615,3.4657359027997265
2807551,none,24,critical account - other non-bank loans,radio/television,2424,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,53,none,own,2,skilled,1,none,yes,0,3.1780538303479458,7.793174347189205,3.970291913552122
8394907,< 0 DM,30,no credit - paid,business,8072,unknown/none,< 1 year,2,male-single,none,3,car or other,25,bank,own,3,skilled,1,none,yes,0,3.4011973816621555,8.996156562033445,3.2188758248682006
9516779,0 - 200 DM,24,current loans paid,car (used),12579,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,2,unknown-none,44,none,for free,1,highly skilled,1,yes,yes,1,3.1780538303479458,9.439784035838873,3.784189633918261
1750839,none,24,current loans paid,radio/television,3430,500 - 1000 DM,>= 7 years,3,male-single,none,2,car or other,31,none,own,1,skilled,2,yes,yes,0,3.1780538303479458,8.140315540159985,3.4339872044851463
9007770,none,9,critical account - other non-bank loans,car (new),2134,< 100 DM,1 - 4 years,4,male-single,none,4,car or other,48,none,own,3,skilled,1,yes,yes,0,2.1972245773362196,7.665753431861699,3.871201010907891
5611578,< 0 DM,6,current loans paid,radio/television,2647,500 - 1000 DM,1 - 4 years,2,male-single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,0,1.791759469228055,7.881182202227102,3.784189633918261
3677496,< 0 DM,10,critical account - other non-bank loans,car (new),2241,< 100 DM,< 1 year,1,male-single,none,3,real estate,48,none,rent,2,unskilled-resident,2,none,no,0,2.302585092994046,7.714677473800927,3.871201010907891
3265162,0 - 200 DM,12,critical account - other non-bank loans,car (used),1804,100 - 500 DM,< 1 year,3,male-single,none,4,building society savings/life insurance,44,none,own,1,skilled,1,none,yes,0,2.4849066497880004,7.4977617006225685,3.784189633918261
7795200,none,10,critical account - other non-bank loans,furniture/equipment,2069,unknown/none,1 - 4 years,2,male-married/widowed,none,1,car or other,26,none,own,2,skilled,1,none,no,0,2.302585092994046,7.634820677745543,3.258096538021482
4362293,< 0 DM,6,current loans paid,furniture/equipment,1374,< 100 DM,1 - 4 years,1,male-single,none,2,real estate,36,bank,own,1,unskilled-resident,1,yes,yes,0,1.791759469228055,7.2254814727822945,3.58351893845611
4506902,none,6,no credit - paid,radio/television,426,< 100 DM,>= 7 years,4,male-married/widowed,none,4,car or other,39,none,own,1,unskilled-resident,1,none,yes,0,1.791759469228055,6.054439346269371,3.6635616461296463
8881521,> 200 DM or salary assignment,12,all loans at bank paid,radio/television,409,>= 1000 DM,1 - 4 years,3,female-divorced/separated/married,none,3,real estate,42,none,rent,2,skilled,1,none,yes,0,2.4849066497880004,6.013715156042802,3.7376696182833684
1398341,0 - 200 DM,7,current loans paid,radio/television,2415,< 100 DM,1 - 4 years,3,male-single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,0,1.9459101490553132,7.789454566086673,3.5263605246161616
7333893,< 0 DM,60,past payment delays,business,6836,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,63,none,own,2,skilled,1,yes,yes,1,4.0943445622221,8.829958044235482,4.143134726391533
7890417,0 - 200 DM,18,current loans paid,business,1913,>= 1000 DM,< 1 year,3,male-married/widowed,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,0,2.8903717578961645,7.556427969440253,3.58351893845611
2017286,< 0 DM,24,current loans paid,furniture/equipment,4020,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,27,stores,own,1,skilled,1,none,yes,0,3.1780538303479458,8.299037181613066,3.295836866004329
7081292,0 - 200 DM,18,current loans paid,car (new),5866,100 - 500 DM,1 - 4 years,2,male-single,none,2,car or other,30,none,own,2,skilled,1,yes,yes,0,2.8903717578961645,8.676928249537397,3.4011973816621555
8807838,none,12,critical account - other non-bank loans,business,1264,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,57,none,rent,1,unskilled-resident,1,none,yes,0,2.4849066497880004,7.142036574706803,4.04305126783455
1221741,> 200 DM or salary assignment,12,current loans paid,furniture/equipment,1474,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,33,bank,own,1,highly skilled,1,yes,yes,0,2.4849066497880004,7.295735072749282,3.4965075614664802
3977061,0 - 200 DM,45,critical account - other non-bank loans,radio/television,4746,< 100 DM,< 1 year,4,male-single,none,2,building society savings/life insurance,25,none,own,2,unskilled-resident,1,none,yes,1,3.8066624897703196,8.465057436995709,3.2188758248682006
6028350,none,48,critical account - other non-bank loans,education,6110,< 100 DM,1 - 4 years,1,male-single,none,3,unknown-none,31,bank,for free,1,skilled,1,yes,yes,0,3.871201010907891,8.71768205216564,3.4339872044851463
2903516,> 200 DM or salary assignment,18,current loans paid,radio/television,2100,< 100 DM,1 - 4 years,4,male-single,co-applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,1,2.8903717578961645,7.649692623711514,3.6109179126442243
8335289,> 200 DM or salary assignment,10,current loans paid,domestic appliances,1225,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,37,none,own,1,skilled,1,yes,yes,0,2.302585092994046,7.110696122978827,3.6109179126442243
8596814,0 - 200 DM,9,current loans paid,radio/television,458,< 100 DM,1 - 4 years,4,male-single,none,3,real estate,24,none,own,1,skilled,1,none,yes,0,2.1972245773362196,6.126869184114185,3.1780538303479458
1473485,none,30,current loans paid,radio/television,2333,500 - 1000 DM,>= 7 years,4,male-single,none,2,car or other,30,bank,own,1,highly skilled,1,none,yes,0,3.4011973816621555,7.75491027202143,3.4011973816621555
5043986,0 - 200 DM,12,current loans paid,radio/television,1158,500 - 1000 DM,1 - 4 years,3,male-divorced/separated,none,1,car or other,26,none,own,1,skilled,1,yes,yes,0,2.4849066497880004,7.05444965813294,3.258096538021482
7015188,0 - 200 DM,18,past payment delays,repairs,6204,< 100 DM,1 - 4 years,2,male-single,none,4,real estate,44,none,own,1,unskilled-resident,2,yes,yes,0,2.8903717578961645,8.73294952429643,3.784189633918261
5609809,< 0 DM,30,critical account - other non-bank loans,car (used),6187,100 - 500 DM,4 - 7 years,1,male-married/widowed,none,4,car or other,24,none,rent,2,skilled,1,none,yes,0,3.4011973816621555,8.73020559553099,3.1780538303479458
6574474,< 0 DM,48,critical account - other non-bank loans,car (used),6143,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,unknown-none,58,stores,for free,2,unskilled-resident,1,none,yes,1,3.871201010907891,8.723068501163928,4.060443010546419
6668437,none,11,critical account - other non-bank loans,car (new),1393,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,car or other,35,none,own,2,highly skilled,1,none,yes,0,2.3978952727983707,7.239214973779806,3.5553480614894135
7468489,none,36,current loans paid,radio/television,2299,500 - 1000 DM,>= 7 years,4,male-single,none,4,car or other,39,none,own,1,skilled,1,none,yes,0,3.58351893845611,7.740229524763182,3.6635616461296463
6045059,< 0 DM,6,current loans paid,car (used),1352,500 - 1000 DM,unemployed,1,female-divorced/separated/married,none,2,building society savings/life insurance,23,none,rent,1,unemployed-unskilled-non-resident,1,yes,yes,0,1.791759469228055,7.20934025660291,3.1354942159291497
3678840,none,11,critical account - other non-bank loans,car (new),7228,< 100 DM,1 - 4 years,1,male-single,none,4,building society savings/life insurance,39,none,own,2,unskilled-resident,1,none,yes,0,2.3978952727983707,8.885717651712119,3.6635616461296463
9514325,none,12,current loans paid,radio/television,2073,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled,1,none,yes,0,2.4849066497880004,7.636752112435779,3.332204510175204
7764002,0 - 200 DM,24,past payment delays,furniture/equipment,2333,unknown/none,< 1 year,4,male-single,none,2,building society savings/life insurance,29,bank,own,1,unskilled-resident,1,none,yes,0,3.1780538303479458,7.75491027202143,3.367295829986474
4029031,0 - 200 DM,27,past payment delays,car (used),5965,< 100 DM,>= 7 years,1,male-single,none,2,car or other,30,none,own,2,highly skilled,1,yes,yes,0,3.295836866004329,8.693664334532016,3.4011973816621555
1318782,none,12,current loans paid,radio/television,1262,< 100 DM,1 - 4 years,3,male-single,none,2,car or other,25,none,own,1,skilled,1,none,yes,0,2.4849066497880004,7.140453043101158,3.2188758248682006
1442097,none,18,current loans paid,car (used),3378,unknown/none,1 - 4 years,2,male-single,none,1,building society savings/life insurance,31,none,own,1,skilled,1,yes,yes,0,2.8903717578961645,8.125039097367745,3.4339872044851463
7784864,0 - 200 DM,36,past payment delays,car (new),2225,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,57,bank,for free,2,skilled,1,yes,yes,1,3.58351893845611,7.707512194600341,4.04305126783455
4572543,none,6,all loans at bank paid,car (new),783,unknown/none,1 - 4 years,1,male-single,guarantor,2,real estate,26,stores,own,1,unskilled-resident,2,none,yes,0,1.791759469228055,6.663132695990803,3.258096538021482
4365555,0 - 200 DM,12,current loans paid,radio/television,6468,unknown/none,unemployed,2,male-single,none,1,unknown-none,52,none,own,1,highly skilled,1,yes,yes,1,2.4849066497880004,8.774622220696997,3.9512437185814275
6134562,none,36,critical account - other non-bank loans,radio/television,9566,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,31,stores,own,2,skilled,1,none,yes,0,3.58351893845611,9.165970424240243,3.4339872044851463
3409265,> 200 DM or salary assignment,18,current loans paid,car (new),1961,< 100 DM,>= 7 years,3,female-divorced/separated/married,none,2,car or other,23,none,own,1,highly skilled,1,none,yes,0,2.8903717578961645,7.581209826196346,3.1354942159291497
1504574,< 0 DM,36,critical account - other non-bank loans,furniture/equipment,6229,< 100 DM,< 1 year,4,female-divorced/separated/married,co-applicant,4,unknown-none,23,none,rent,2,unskilled-resident,1,yes,yes,1,3.58351893845611,8.736971085254146,3.1354942159291497
3256655,0 - 200 DM,9,current loans paid,business,1391,< 100 DM,1 - 4 years,2,male-married/widowed,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,0,2.1972245773362196,7.237778191923443,3.295836866004329
8806796,0 - 200 DM,15,critical account - other non-bank loans,radio/television,1537,unknown/none,>= 7 years,4,male-single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,0,2.70805020110221,7.337587743538596,3.912023005428146
1364372,0 - 200 DM,36,no credit - paid,business,1953,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,61,none,for free,1,highly skilled,1,yes,yes,1,3.58351893845611,7.577121930876679,4.110873864173311
8688712,0 - 200 DM,48,no credit - paid,business,14421,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,25,none,own,1,skilled,1,yes,yes,1,3.871201010907891,9.57644075656207,3.2188758248682006
3747039,none,24,current loans paid,radio/television,3181,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,26,none,own,1,skilled,1,yes,yes,0,3.1780538303479458,8.064950891749143,3.258096538021482
3453642,none,27,current loans paid,repairs,5190,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,48,none,own,4,skilled,2,yes,yes,0,3.295836866004329,8.554488976159934,3.871201010907891
5520489,none,12,current loans paid,radio/television,2171,< 100 DM,< 1 year,2,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled,1,none,yes,0,2.4849066497880004,7.682943169878292,3.367295829986474
1647906,0 - 200 DM,12,current loans paid,car (new),1007,>= 1000 DM,1 - 4 years,4,male-married/widowed,none,1,real estate,22,none,own,1,skilled,1,none,yes,0,2.4849066497880004,6.914730892718563,3.091042453358316
2987381,none,36,current loans paid,education,1819,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,37,stores,for free,1,skilled,1,yes,yes,1,3.58351893845611,7.506042178518122,3.6109179126442243
3683782,none,36,current loans paid,radio/television,2394,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,25,none,own,1,skilled,1,none,yes,0,3.58351893845611,7.780720886117918,3.2188758248682006
6065675,none,36,current loans paid,car (used),8133,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,2,building society savings/life insurance,30,bank,own,1,skilled,1,none,yes,0,3.58351893845611,9.003685138166775,3.4011973816621555
1510672,none,7,critical account - other non-bank loans,radio/television,730,unknown/none,>= 7 years,4,male-single,none,2,building society savings/life insurance,46,none,rent,2,unskilled-resident,1,yes,yes,0,1.9459101490553132,6.593044534142437,3.828641396489095
6390550,< 0 DM,8,critical account - other non-bank loans,other,1164,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,51,bank,for free,2,highly skilled,2,yes,yes,0,2.0794415416798357,7.059617628291383,3.9318256327243257
6771352,0 - 200 DM,42,critical account - other non-bank loans,business,5954,< 100 DM,4 - 7 years,2,female-divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled-resident,1,none,yes,0,3.7376696182833684,8.691818541575723,3.713572066704308
4802045,< 0 DM,36,current loans paid,education,1977,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,40,none,own,1,highly skilled,1,yes,yes,1,3.58351893845611,7.589335823170617,3.6888794541139363
8911390,< 0 DM,12,critical account - other non-bank loans,car (used),1526,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,66,none,for free,2,highly skilled,1,none,yes,0,2.4849066497880004,7.330405211844402,4.189654742026425
1139059,< 0 DM,42,current loans paid,radio/television,3965,< 100 DM,< 1 year,4,male-single,none,3,car or other,34,none,own,1,skilled,1,none,yes,1,3.7376696182833684,8.285261134068948,3.5263605246161616
7399701,0 - 200 DM,11,past payment delays,radio/television,4771,< 100 DM,4 - 7 years,2,male-single,none,4,building society savings/life insurance,51,none,own,1,skilled,1,none,yes,0,2.3978952727983707,8.470311205516108,3.9318256327243257
5604915,none,54,no credit - paid,car (used),9436,unknown/none,1 - 4 years,2,male-single,none,2,building society savings/life insurance,39,none,own,1,unskilled-resident,2,none,yes,0,3.9889840465642745,9.152287440527566,3.6635616461296463
7683335,0 - 200 DM,30,current loans paid,furniture/equipment,3832,< 100 DM,< 1 year,2,male-married/widowed,none,1,building society savings/life insurance,22,none,own,1,skilled,1,none,yes,0,3.4011973816621555,8.251142139090751,3.091042453358316
5503995,none,24,current loans paid,radio/television,5943,unknown/none,< 1 year,1,female-divorced/separated/married,none,1,car or other,44,none,own,2,skilled,1,yes,yes,1,3.1780538303479458,8.68996933536666,3.784189633918261
8801062,none,15,current loans paid,radio/television,1213,500 - 1000 DM,>= 7 years,4,male-single,none,3,building society savings/life insurance,47,stores,own,1,skilled,1,yes,yes,0,2.70805020110221,7.10085190894405,3.8501476017100584
1817735,none,18,current loans paid,business,1568,100 - 500 DM,1 - 4 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,unskilled-resident,1,none,yes,0,2.8903717578961645,7.357556200910353,3.1780538303479458
1806409,< 0 DM,24,current loans paid,other,1755,< 100 DM,>= 7 years,4,female-divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled-resident,1,yes,yes,0,3.1780538303479458,7.470224135899966,4.060443010546419
3028735,< 0 DM,10,current loans paid,radio/television,2315,< 100 DM,>= 7 years,3,male-single,none,4,real estate,52,none,own,1,unskilled-resident,1,none,yes,0,2.302585092994046,7.747164966520335,3.9512437185814275
3707969,none,12,critical account - other non-bank loans,business,1412,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,2,real estate,29,none,own,2,highly skilled,1,yes,yes,0,2.4849066497880004,7.252762418053187,3.367295829986474
7327747,0 - 200 DM,18,critical account - other non-bank loans,furniture/equipment,1295,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,27,none,own,2,skilled,1,none,yes,0,2.8903717578961645,7.166265974133638,3.295836866004329
5790827,0 - 200 DM,36,current loans paid,education,12612,100 - 500 DM,1 - 4 years,1,male-single,none,4,unknown-none,47,none,for free,1,skilled,2,yes,yes,1,3.58351893845611,9.442404020664952,3.8501476017100584
1812102,< 0 DM,18,current loans paid,car (new),2249,100 - 500 DM,4 - 7 years,4,male-single,none,3,car or other,30,none,own,1,highly skilled,2,yes,yes,0,2.8903717578961645,7.718240951959316,3.4011973816621555
4049219,< 0 DM,12,no credit - paid,repairs,1108,< 100 DM,4 - 7 years,4,male-single,none,3,real estate,28,none,own,2,skilled,1,none,yes,1,2.4849066497880004,7.010311867307229,3.332204510175204
6177564,none,12,critical account - other non-bank loans,radio/television,618,< 100 DM,>= 7 years,4,male-single,none,4,real estate,56,none,own,1,skilled,1,none,yes,0,2.4849066497880004,6.42648845745769,4.02535169073515
9127163,< 0 DM,12,critical account - other non-bank loans,car (used),1409,< 100 DM,>= 7 years,4,male-single,none,3,real estate,54,none,own,1,skilled,1,none,yes,0,2.4849066497880004,7.25063551189868,3.9889840465642745
2628060,none,12,critical account - other non-bank loans,radio/television,797,unknown/none,>= 7 years,4,female-divorced/separated/married,none,3,building society savings/life insurance,33,bank,own,1,unskilled-resident,2,none,yes,1,2.4849066497880004,6.680854678790215,3.4965075614664802
2031456,> 200 DM or salary assignment,24,critical account - other non-bank loans,furniture/equipment,3617,unknown/none,>= 7 years,4,male-single,co-applicant,4,unknown-none,20,none,rent,2,skilled,1,none,yes,0,3.1780538303479458,8.193400231952097,2.995732273553991
3725303,0 - 200 DM,12,current loans paid,car (new),1318,>= 1000 DM,>= 7 years,4,male-single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,0,2.4849066497880004,7.183870715062453,3.9889840465642745
8326409,0 - 200 DM,54,no credit - paid,business,15945,< 100 DM,< 1 year,3,male-single,none,4,unknown-none,58,none,rent,1,skilled,1,yes,yes,1,3.9889840465642745,9.676900579444158,4.060443010546419
1957928,none,12,critical account - other non-bank loans,education,2012,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,2,car or other,61,none,own,1,skilled,1,none,yes,0,2.4849066497880004,7.60688453121963,4.110873864173311
6428170,0 - 200 DM,18,current loans paid,business,2622,100 - 500 DM,1 - 4 years,4,male-single,none,4,car or other,34,none,own,1,skilled,1,none,yes,0,2.8903717578961645,7.871692664323645,3.5263605246161616
4371483,0 - 200 DM,36,critical account - other non-bank loans,radio/television,2337,< 100 DM,>= 7 years,4,male-single,none,4,real estate,36,none,own,1,skilled,1,none,yes,0,3.58351893845611,7.756623334538858,3.58351893845611
7476603,0 - 200 DM,20,past payment delays,car (used),7057,unknown/none,4 - 7 years,3,male-single,none,4,building society savings/life insurance,36,bank,rent,2,highly skilled,2,yes,yes,0,2.995732273553991,8.86177531100083,3.58351893845611
2083425,none,24,current loans paid,car (new),1469,100 - 500 DM,>= 7 years,4,male-married/widowed,none,4,real estate,41,none,rent,1,unskilled-resident,1,none,yes,0,3.1780538303479458,7.292337176173877,3.713572066704308
7663021,0 - 200 DM,36,current loans paid,radio/television,2323,< 100 DM,4 - 7 years,4,male-single,none,4,car or other,24,none,rent,1,skilled,1,none,yes,0,3.58351893845611,7.750614732770409,3.1780538303479458
8330126,none,6,past payment delays,radio/television,932,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,24,none,own,1,skilled,1,none,yes,0,1.791759469228055,6.837332814685591,3.1780538303479458
4762252,0 - 200 DM,9,critical account - other non-bank loans,furniture/equipment,1919,< 100 DM,4 - 7 years,4,male-single,none,3,car or other,35,none,rent,1,skilled,1,yes,yes,0,2.1972245773362196,7.5595594960077,3.5553480614894135
8744199,none,12,current loans paid,car (used),2445,unknown/none,< 1 year,2,male-married/widowed,none,4,car or other,26,none,rent,1,skilled,1,yes,yes,0,2.4849066497880004,7.801800401908973,3.258096538021482
7423252,0 - 200 DM,24,critical account - other non-bank loans,other,11938,< 100 DM,1 - 4 years,2,male-single,co-applicant,3,car or other,39,none,own,2,highly skilled,2,yes,yes,1,3.1780538303479458,9.387481868728596,3.6635616461296463
7539327,none,18,all loans at bank paid,car (new),6458,< 100 DM,>= 7 years,2,male-single,none,4,unknown-none,39,bank,own,2,highly skilled,2,yes,yes,1,2.8903717578961645,8.77307495131822,3.6635616461296463
9510423,0 - 200 DM,12,current loans paid,car (new),6078,< 100 DM,4 - 7 years,2,male-single,none,2,car or other,32,none,own,1,skilled,1,none,yes,0,2.4849066497880004,8.712430973476739,3.4657359027997265
7532368,< 0 DM,24,current loans paid,furniture/equipment,7721,unknown/none,< 1 year,1,female-divorced/separated/married,none,2,building society savings/life insurance,30,none,own,1,skilled,1,yes,no,0,3.1780538303479458,8.951699168308815,3.4011973816621555
1929784,0 - 200 DM,14,current loans paid,business,1410,500 - 1000 DM,>= 7 years,1,male-married/widowed,none,2,real estate,35,none,own,1,skilled,1,yes,yes,0,2.6390573296152584,7.251344983372214,3.5553480614894135
9517102,> 200 DM or salary assignment,6,critical account - other non-bank loans,car (new),1299,< 100 DM,1 - 4 years,1,male-single,none,1,real estate,74,none,own,3,unemployed-unskilled-non-resident,2,none,no,0,1.791759469228055,7.1693500166706,4.30406509320417
2801710,0 - 200 DM,9,current loans paid,furniture/equipment,918,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,1,building society savings/life insurance,30,none,own,1,skilled,1,none,yes,1,2.1972245773362196,6.822197390620491,3.4011973816621555
3066581,0 - 200 DM,6,past payment delays,business,1449,100 - 500 DM,>= 7 years,1,male-divorced/separated,none,2,car or other,31,bank,own,2,skilled,2,none,yes,0,1.791759469228055,7.278628942320682,3.4339872044851463
2924368,> 200 DM or salary assignment,15,current loans paid,education,392,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,23,none,rent,1,skilled,1,yes,yes,0,2.70805020110221,5.971261839790462,3.1354942159291497
5814710,0 - 200 DM,18,current loans paid,car (new),6260,< 100 DM,4 - 7 years,3,male-single,none,3,real estate,28,none,rent,1,unskilled-resident,1,none,yes,0,2.8903717578961645,8.741935464094144,3.332204510175204
5186756,none,36,critical account - other non-bank loans,car (new),7855,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,1,3.58351893845611,8.96890555068972,3.2188758248682006
3473006,< 0 DM,12,current loans paid,radio/television,1680,500 - 1000 DM,>= 7 years,3,male-married/widowed,none,1,real estate,35,none,own,1,skilled,1,none,yes,0,2.4849066497880004,7.426549072397305,3.5553480614894135
7491936,none,48,critical account - other non-bank loans,radio/television,3578,unknown/none,>= 7 years,4,male-single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,0,3.871201010907891,8.182559264068665,3.8501476017100584
8010233,< 0 DM,42,current loans paid,radio/television,7174,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,30,none,own,1,highly skilled,1,yes,yes,1,3.7376696182833684,8.878218658092228,3.4011973816621555
4298578,< 0 DM,10,critical account - other non-bank loans,furniture/equipment,2132,unknown/none,< 1 year,2,female-divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled,1,none,no,0,2.302585092994046,7.664815785285735,3.295836866004329
2515323,< 0 DM,33,critical account - other non-bank loans,furniture/equipment,4281,500 - 1000 DM,1 - 4 years,1,female-divorced/separated/married,none,4,car or other,23,none,own,2,skilled,1,none,yes,1,3.4965075614664802,8.361941906144946,3.1354942159291497
2317941,0 - 200 DM,12,critical account - other non-bank loans,car (new),2366,500 - 1000 DM,4 - 7 years,3,male-divorced/separated,none,3,car or other,36,none,own,1,highly skilled,1,yes,yes,0,2.4849066497880004,7.768956044538332,3.58351893845611
3906586,< 0 DM,21,current loans paid,radio/television,1835,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,25,none,own,2,skilled,1,yes,yes,1,3.044522437723423,7.51479976048867,3.2188758248682006
4863589,none,24,critical account - other non-bank loans,car (used),3868,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,2,car or other,41,none,rent,2,highly skilled,1,yes,yes,0,3.1780538303479458,8.260492856573185,3.713572066704308
4625102,none,12,current loans paid,furniture/equipment,1768,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes,0,2.4849066497880004,7.477604243197589,3.1780538303479458
